29076|12389|3356
12389|3356|3216
4775|174|701
3257|5511|29544
19551|577|3491
5511|8697|8376
5511|31167|37390
207676|48347|59796
55821|9304|9002
3491|4651|4621
577|3257|1299
3491|9299|7306
7473|136106|38753
5511|3215|3259
5511|3215|16028
174|12615|205352
5511|29571|328193
174|7713|55687
3257|3320|9175
38442|6939|1299
4323|3356|39588
4657|1239|2914
174|31133|41034
6762|1273|50973
3356|12389|12695
3257|174|56992
3356|12389|35598
21103|8440|8460
6453|30844|37685
3257|3320|201530
12389|3356|3491
23520|3491|6762
205647|24631|51235
1299|174|31133
174|45474|59243
3356|37100|327927
12389|8641|51054
8657|174|16637
174|6774|43256
9299|2914|4134
3320|5483|15545
3320|5483|43529
4230|6453|174
42440|16322|60976
201942|3257|174
3257|3320|48049
2914|3491|20473
50973|21183|201524
5511|3215|51822
4761|3491|6453
6762|2914|8717
3257|5511|37552
12389|21103|8440
26881|7029|6453
262355|263599|262865
8359|3356|174
5511|9304|137996
3257|3320|58346
3257|5511|47377
4761|3491|19551
5416|174|48407
49666|41689|43754
286|174|42466
9002|8866|43561
16637|30986|327947
3491|33765|37619
6648|1273|3491
9049|1299|174
49666|25184|62157
6453|18403|131438
5511|12479|13041
12389|1273|6762
5511|12479|203457
6939|47394|196838
1299|39386|208293
31133|42861|206066
22457|577|3257
3491|6762|11367
3257|3320|200512
17400|174|3356
1299|4648|132528
5511|12479|202814
3491|6453|7713
17072|32098|17072
6762|5511|37094
41689|43754|51074
5511|3215|201072
1273|6762|63956
8966|6762|174
149848|132054|135607
41689|43754|50810
20940|6762|4637
15399|37100|2914
3573|8220|6461
9299|2914|4713
3356|31133|47104
31126|15739|13335
5511|42020|31126
3257|5511|5617
3257|3320|201834
8452|24863|37069
43561|57344|2914
7922|2914|46450
5511|6713|16058
1299|174|12389
174|16637|30986
1299|3257|58453
174|7713|38142
2914|4648|132528
5511|3215|206443
39386|208293|203217
42313|6762|1273
49666|25184|42867
3257|3320|202810
5511|8452|24835
43148|8359|3356
13058|34171|174
3356|1299|37100
3257|3320|202186
5511|29571|10798
174|9498|45609
209|3561|19701
5511|9500|7657
6461|4637|1221
5511|3215|206709
5511|23889|15084
30844|37619|37228
1221|38561|2914
25184|44889|59794
5435|6764|56695
20940|6762|32934
9680|1299|3257
6762|5511|45879
25184|34513|57574
174|132876|136255
3257|5511|37541
3257|5511|47794
12975|50670|44702
3257|3320|201667
3257|3491|9498
43332|56388|174
20485|1299|174
3320|5483|34059
8926|15836|207246
12880|42337|48431
3257|3491|20485
3356|174|16735
3257|5511|37492
3257|5511|6853
1239|17639|135345
12389|12668|51883
7473|17639|136503
6461|174|32113
5511|3215|9159
12713|6663|5511
3257|3320|8879
3257|3320|15499
36866|8966|3356
3257|5511|24863
209|15164|22398
3549|52940|264953
174|1299|31133
9304|132139|135391
7552|38731|131435
49666|25184|62265
1299|3491|9299
136106|24207|4761
3257|174|31133
8697|212573|208293
5511|12479|62332
28917|3257|3491
3257|3320|1902
3257|5511|45430
60299|44158|61971
1299|45896|56147
5511|3215|203253
1299|174|25229
12880|24631|21341
3257|3320|62460
6461|3356|135607
50340|1299|6762
174|5511|30844
6461|174|9498
17676|1239|24304
16058|6713|174
3257|3320|198139
8966|2914|174
30844|37619|36934
5511|3215|8255
5511|3215|197744
701|6648|131276
3356|1299|8881
48858|12389|1273
3491|12389|30767
3320|1299|133385
5511|3215|2278
7473|1299|7713
3257|3320|51733
3356|3491|9498
29076|48293|12389
3257|3320|57837
3257|3320|39063
42526|3216|3356
16637|30986|10798
174|23947|18365
3320|5483|41183
22457|577|6453
3356|3491|20485
8657|174|37288
49666|31549|205647
3491|3758|9255
3491|20485|9198
5511|37492|15084
3257|3320|12292
3356|174|31133
3257|6461|8218
57344|29582|198127
174|6762|30844
174|3356|5603
5511|8452|36992
174|327814|37087
38442|7473|1299
7552|3491|45899
58453|30990|3356
37662|3356|37100
5511|31167|327876
4637|31712|286
5511|3215|27806
38442|4648|9241
5511|2609|5438
3257|3320|8520
11956|3477|20033
3257|5511|25113
174|1299|12389
6306|3549|52386
5511|42020|41833
16322|60976|60178
48237|47794|3356
